name;info;birth;demise;dataUrl
Newton Norman Minow;Abogado estadounidense;1926;?;https://proverbia.net/autor/frases-de-newton-norman-minow
Conde de Mirabeau;Político, escritor y orador francés;1749;1791;https://proverbia.net/autor/frases-de-conde-de-mirabeau
Enrique Miret Magdalena;Teólogo español;1914;?;https://proverbia.net/autor/frases-de-enrique-miret-magdalena
Yukio Mishima;Novelista y poeta japonés;1925;1970;https://proverbia.net/autor/frases-de-yukio-mishima
Gabriela Mistral;Escritora chilena;1889;1957;https://proverbia.net/autor/frases-de-gabriela-mistral
Jacquelyn Mitchard;Reportera, guionista y escritora estadounidense;1956;?;https://proverbia.net/autor/frases-de-jacquelyn--mitchard-
MargaretMitchel;;;;https://proverbia.net/autor/frases-de-margaret-mitchel
Molière;Comediografo francés;1622;1673;https://proverbia.net/autor/frases-de-moliere
Tirso de Molina;Dramaturgo español;1584;1648;https://proverbia.net/autor/frases-de-tirso-de--molina
Jean de Monet;Caballero de Lamarck Biólogo;1744;1829;https://proverbia.net/autor/frases-de-jean-de-monet
Marilyn Monroe;Actriz estadounidense;1926;1962;https://proverbia.net/autor/frases-de-marilyn-monroe
Michel de Montaigne;Escritor y filósofo francés;1533;1592;https://proverbia.net/autor/frases-de-michel-de-montaigne
Victor Montenegro;Escritor argentino;1920;?;https://proverbia.net/autor/frases-de-victor-montenegro
Rosa Montero;Escritora y periodista española;1951;?;https://proverbia.net/autor/frases-de-rosa-montero
Montesquieu;Escritor y político francés;1689;1755;https://proverbia.net/autor/frases-de-montesquieu
Maria Montessori;Educadora y médica italiana;1870;1952;https://proverbia.net/autor/frases-de-maria-montessori
Henry de Montherlant;Novelista y dramaturgo francés de origen catalán n;1896;1970;https://proverbia.net/autor/frases-de-henry-de-montherlant
José Miguel Monzón;Humorista español;1956;?;https://proverbia.net/autor/frases-de-jose-miguel-monzon
Mary Tyler Moore;Actriz norteamericana;1936;?;https://proverbia.net/autor/frases-de-mary-tyler-moore
Henry Moore;Escultor británico;1898;1986;https://proverbia.net/autor/frases-de-henry-moore
Thomas Moore;Poeta, compositor y músico irlandés;1779;1852;https://proverbia.net/autor/frases-de-thomas-moore
Paul Morand;Diplomático y escritor francés;1888;1976;https://proverbia.net/autor/frases-de-paul-morand
Laura Morante;Actriz italiana;1959;?;https://proverbia.net/autor/frases-de-laura-morante
Alberto Moravia;Alberto Pincherle Escritor italiano.;1907;1990;https://proverbia.net/autor/frases-de-alberto-moravia
Mario Moreno 'Cantinflas';Actor mexicano;1911;1993;https://proverbia.net/autor/frases-de-mario-moreno-cantinflas
Christopher Morley;Político inglés;1890;1957;https://proverbia.net/autor/frases-de-christopher-morley
Grant Morrison;Artista y escritor de comics;1960;?;https://proverbia.net/autor/frases-de-grant-morrison
RichardMoss;;;;https://proverbia.net/autor/frases-de-richard-moss
Wolfgang Amadeus Mozart;Compositor y pianista austriaco;1756;1791;https://proverbia.net/autor/frases-de-wolfgang-amadeus-mozart
Enrique Múgica Herzog;Político español;1932;?;https://proverbia.net/autor/frases-de-enrique-mugica-herzog
Harry Mulisch;Escritor holandés;1927;2010;https://proverbia.net/autor/frases-de-harry-mulisch
Antonio Muñoz Molina;Escritor español;1956;?;https://proverbia.net/autor/frases-de-antonio-munoz-molina
Pedro Muñoz Seca;Dramaturgo español;1881;1936;https://proverbia.net/autor/frases-de-pedro-munoz-seca
Haruki Murakami;Escritor y traductor japonés;1949;?;https://proverbia.net/autor/frases-de-haruki-murakami
A.Murphy;;;;https://proverbia.net/autor/frases-de-a-murphy
Edward R. Murrow;Comentarista y reportero estadounidense;1908;1965;https://proverbia.net/autor/frases-de-edward-r-murrow
Alfred de Musset;Poeta francés;1810;1857;https://proverbia.net/autor/frases-de-alfred-de-musset
Álvaro Mutis;Novelista y poeta colombiano;1923;2013;https://proverbia.net/autor/frases-de-alvaro-mutis
