name;info;birth;demise;dataUrl
Sorell;;;;https://proverbia.net/autor/frases-de-sorell
Robert Spaemann;Filósofo alemán;1927;?;https://proverbia.net/autor/frases-de-robert-spaemann
Herbert Spencer;Escritor británico;1820;1903;https://proverbia.net/autor/frases-de-herbert-spencer
Baruch Spinoza;Filósofo holandés, de origen juedoespañol;1632;1677;https://proverbia.net/autor/frases-de-baruch-spinoza
Bruce Springsteen;Cantante estadounidense;1949;?;https://proverbia.net/autor/frases-de-bruce-springsteen
C.Spurgeon;;;;https://proverbia.net/autor/frases-de-c-spurgeon
Germaine de Staël;Escritora e intelectual francesa;1766;1817;https://proverbia.net/autor/frases-de-germaine-de-stael
Svetlana Stalin;Escritora soviética;1926;?;https://proverbia.net/autor/frases-de-svetlana-stalin
Richard Steele;Escritor irlandés;1672;1729;https://proverbia.net/autor/frases-de-richard-steele
Gertrude Stein;Escritora y poetisa estadounidense;1874;1946;https://proverbia.net/autor/frases-de-gertrude-stein
John Steinbeck;Escritor estadounidense;1902;1968;https://proverbia.net/autor/frases-de-john-steinbeck
George Steiner;Filósofo francés;1929;?;https://proverbia.net/autor/frases-de-george-steiner
Stendhal;Escritor francés;1783;1842;https://proverbia.net/autor/frases-de-stendhal
Laurence Sterne;Novelista y humorista inglés;1713;1768;https://proverbia.net/autor/frases-de-laurence-sterne
Wallace Stevens;Poeta estadounidense;1879;1955;https://proverbia.net/autor/frases-de-wallace-stevens
E. W. Stevens;;Autor de libros de Psicología.;;https://proverbia.net/autor/frases-de-e-w-stevens
Earl GrayStevens;;;;https://proverbia.net/autor/frases-de-earl-gray-stevens
Robert Louis Stevenson;Escritor británico;1850;1894;https://proverbia.net/autor/frases-de-robert-louis-stevenson
Henry Lewis Stimson;Estadista americano;1867;1950;https://proverbia.net/autor/frases-de-henry-lewis-stimson
Karlheinz Stockhausen;Compositor alemán;1928;2007;https://proverbia.net/autor/frases-de-karlheinz-stockhausen
Tom Stoppard;Comediógrafo inglés;1937;?;https://proverbia.net/autor/frases-de-tom-stoppard
Igor Stravinski;Compositor y director de orquesta ruso;1882;1971;https://proverbia.net/autor/frases-de-igor-stravinski
Johann August Strindberg;Escritor sueco;1849;1912;https://proverbia.net/autor/frases-de-johann-august-strindberg
F. A.Suárez;;;;https://proverbia.net/autor/frases-de-f-a-suarez
Suetonio;Historiador y biógrafo romano;69;140;https://proverbia.net/autor/frases-de-suetonio
Sun Tzu;Escritor chino;544 AC;496 AC;https://proverbia.net/autor/frases-de-sun-tzu
Jonathan Swift;Político y escritor irlandés;1667;1745;https://proverbia.net/autor/frases-de-jonathan-swift
